id,degree
16576,74
7273,2
10096,1
11332,4
13772,4
20158,2
27108,1
29539,2
32275,1
1436,1
26439,1
28158,1
28503,1
944,1
800,1
8092,1
14218,2
15947,4
19582,1
20959,5
451,1
8386,1
22436,3
28463,1
27274,135
2725,6
5913,3
7784,2
16303,4
18283,1
31756,1
2917,1
3836,1
4850,1
12104,1
30861,1
31290,1
124,2
2930,1
4665,1
22077,47
14839,1
21683,1
22026,1
24274,4
30557,1
30815,1
31873,4
31005,1
1953,1
10296,1
25835,1
26863,4
31391,1
30710,140
6464,1
8082,4
9109,1
11002,3
11847,26
16133,6
17274,2
17481,1
23959,1
25144,2
24521,3
27200,1
29827,13
31641,9
31849,1
31894,2
32018,1
5052,1
10195,4
11795,1
15488,1
27746,1
29230,1
1706,1
3875,14
4690,1
8691,4
17507,1
31260,2
31724,1
31991,2
2129,1
14353,1
15741,1
23171,1
31839,1
7015,9
13406,1
14896,19
14991,1
15845,5
18746,2
28255,5
31944,1
13051,1
22543,1
2144,1
3454,1
11863,2
23112,1
27916,7
28395,1
29491,1
31119,27
31027,5
32284,2
32345,2
7953,1
17303,1
22482,1
29134,1
4789,1
1496,2
3145,1
5096,1
8089,1
10687,6
10891,2
11537,3
15014,2
19358,1
19170,1
31878,1
32159,15
32179,2
886,1
9016,1
12420,1
25766,1
727,1
3808,7
10203,1
18111,2
22821,1
30558,1
12307,1
28436,1
30555,1
200,6
1290,1
2020,1
11756,52
22255,3
26881,1
29909,3
30048,2
30389,3
30981,1
32329,3
21440,1
29030,1
7754,56
5714,2
8257,2
14217,4
17900,1
19996,1
20987,2
23521,4
32306,4
672,1
21540,1
27047,1
29782,1
3709,26
4157,1
9105,1
13999,1
15229,2
25353,1
28759,6
30299,2
31976,1
8511,1
21455,1
23395,1
26240,1
31906,1
15368,155
1111,2
12479,273
7072,1
8882,1
9459,2
13852,1
17777,1
31482,2
31363,2
32368,1
32330,1
351,1
4638,1
8442,1
16342,1
18592,1
25364,1
25501,2
28667,2
30173,2
29,1
6119,4
6857,1
7396,1
8614,1
9784,1
14637,1
14737,6
22081,2
30459,1
30511,1
3268,1
4402,2
10498,4
24029,1
28262,1
3494,2
13938,1
15071,1
28348,38
17977,2
25370,3
24740,1
19530,1
27888,1
28330,1
29917,4
31913,2
87,1
5682,1
11133,2
15047,1
23088,1
25849,1
7750,1
13913,1
18063,1
19525,1
19834,1
25850,4
2149,5
4953,1
13309,2
19220,6
23710,4
25320,1
26362,2
26741,1
