id,complaint_percentile,unit,is_sup
1072,62.7756,District 016,0
16556,32.9984,District 005,0
19130,75.2130,District 002,0
19149,62.7756,District 025,0
23390,96.3624,District 011,0
24780,83.8348,District Reinstatement Unit,0
30992,87.7078,District 006,0
672,66.0426,Detective Area - North,0
3059,0.0000,District 002,0
10296,33.0671,Detective Area - Central,0
25263,64.5333,District 011,0
628,98.0897,District 011,0
1654,68.5261,Central Detention Unit,0
4620,50.4681,District 003,0
11968,93.2559,District 011,0
21197,93.3247,Traffic Section,0
26856,91.5785,District 005,0
28575,75.5030,District 008,0
1385,54.7323,Detective Area - North,0
7972,90.4283,District 011,0
12601,61.9579,Detective Area - Central,0
13305,37.1761,District 001,0
16112,97.8335,Detective Area - South,0
30092,35.0770,Detective Area - South,0
650,99.8586,District 003,0
8813,60.7619,District 017,0
9362,55.1988,District 019,0
13892,55.4048,District 020,0
15477,57.4682,Forensic Services Division,0
18262,64.9961,Special Weapons And Tactics (Swat) Unit,0
25620,65.7407,District 016,0
27200,69.7413,District 009,0
32220,97.1495,Narcotics Division,0
4638,96.4541,District 009,0
6358,89.4380,District 003,0
11817,50.9624,District 007,0
15488,80.7075,District 022,0
30952,46.9262,District 006,0
2604,17.6483,District 006,0
9091,96.5152,District 025,0
13108,86.4488,District 005,0
17489,63.0813,District 017,0
21098,99.0868,District 007,0
25885,97.5043,District 003,0
26441,77.4904,District 018,0
2394,96.1147,District 003,0
15112,73.9521,District 003,0
23161,83.4703,Detective Area - Central,0
31054,56.9371,District 001,0
31090,43.2244,District 017,0
140,54.2318,Bureau Of Patrol,0
4269,95.4759,District 002,0
4720,88.6134,District 008,0
14154,72.6497,District 010,0
14750,83.0995,District 018,0
17111,92.5605,Detective Area - South,0
18507,71.8391,District 005,0
19510,84.6395,District 002,0
19948,85.3043,Airport Law Enforcement Section - South,0
30081,61.5452,District 004,0
31894,94.1806,District 009,0
1436,92.6522,District 005,0
4588,74.3953,District 024,0
9425,98.9989,District 020,0
13605,95.7357,District 006,0
30097,85.3043,Bureau Of Patrol,0
406,75.6448,District 002,0
676,71.9915,Bureau Of  Detectives,0
1533,93.0751,District 008,0
5547,28.9863,Asset Forfeiture Investigation Section,0
18084,55.4048,District 020,0
19329,98.3608,Gang Enforcement - Area South,0
28207,71.2009,Bureau Of Internal Affairs,0
29491,51.8704,District 019,0
2553,44.1572,District 020,0
15818,54.7291,District 025,0
18914,40.6748,District 022,0
19706,51.3840,Detective Area - South,0
319,51.1788,Office Of The First Deputy Superintendent,0
5482,42.8079,Gang Investigation Division,0
15845,96.5496,Public Transportation Section,0
18877,82.6858,Narcotics Division,0
24177,90.7035,District 012,0
26523,56.7451,Detective Area - Central,0
7046,58.9034,District 001,0
26121,76.8808,Detective Area - South,0
8074,86.2601,Detective Area - Central,0
14481,73.0732,District 003,0
17938,97.6644,District 006,0
26027,70.7348,Education And Training Division,0
30528,38.3944,District 003,0
32209,56.9371,Narcotics Division,0
32351,92.1745,Narcotics Division,0
4402,34.0895,Vice & Asset Forfeiture Division,0
11502,32.8439,Airport Law Enforcement Section - North,0
13624,48.1080,District 004,0
16376,42.6386,Public Transportation Section,0
20230,51.2173,Airport Law Enforcement Section - South,0
22270,61.8624,District 012,0
30902,29.8354,District 009,0
32217,62.3247,Gang Enforcement - Area North,0
1496,85.2689,Detective Area - South,0
4077,40.0520,Bureau Of Support Services,0
5292,48.8212,Bureau Of Internal Affairs,0
13054,88.5441,Central Investigations Division,0
16220,56.2225,District 025,0
16335,80.3905,Public Transportation Section,0
21585,96.0987,Detective Area - Central,0
