id,complaint_percentile,unit,is_sup,pagerank
569,78.01,Traffic Section,0,1.098419903
6987,71.3487,District 022,0,1.094124485
5293,67.8373,District 003,0,1.093280443
19706,51.384,Detective Area - South,0,1.090220388
3850,56.9371,Fop Detail,1,1.081046623
5482,42.8079,Gang Investigation Division,0,1.080604322
31991,84.6395,Intelligence Section,0,1.077929484
9816,75.427,Bureau Of Patrol,0,1.077904446
31098,92.5681,Detective Area - Central,0,1.077346161
10146,80.6503,District 016,0,1.074616947
15243,81.6423,Public Transportation Section,0,1.072558193
11790,81.5368,Detective Area - North,0,1.072013535
17977,46.0932,District 005,0,1.067399679
31818,95.5103,Gang Investigation Division,0,1.067180556
8776,64.5002,Special Functions Division,0,1.06597877
21857,71.7817,Bureau Of Internal Affairs,0,1.064955969
9341,49.37,District 022,0,1.064900932
28436,22.0908,District 022,0,1.064900932
26325,47.8577,District 022,0,1.064900932
11622,68.4116,Mounted Unit,0,1.064900932
21100,73.9279,Records Inquiry Section,0,1.064900932
6296,78.2082,Deployment Operations Center,0,1.063571096
8074,86.2601,Detective Area - Central,0,1.06264734
22569,69.3696,Special Investigations Unit,0,1.062321517
32334,94.9792,Gang Investigation Division,0,1.061066603
17136,73.6349,Evidence And Recovered Property Section,0,1.059289859
12209,72.9075,Public Transportation Section,0,1.059140117
2622,99.572,Narcotics Division,0,1.057256508
6224,95.5523,District 007,0,1.057173628
1891,90.2105,Special Weapons And Tactics (Swat) Unit,0,1.056146495
12782,88.3153,Detective Area - North,0,1.055410805
11194,98.334,Airport Law Enforcement Section - North,0,1.053122601
5577,72.4288,Airport Law Enforcement Section - South,0,1.052984435
2369,97.0043,Central Investigations Division,0,1.052669439
2400,99.2282,District 020,0,1.052004399
20220,97.0463,District 016,0,1.052004399
29322,65.1141,Marine Operations Unit,0,1.050929949
8431,94.017,Detective Area - North,0,1.048455739
2712,62.7756,Traffic Section,0,1.043961579
6043,97.2603,District 004,0,1.043746275
32222,96.3051,Gang Investigation Division,0,1.043536086
17005,70.3068,District 009,0,1.043491067
15465,75.213,District 012,0,1.043240398
14202,44.2643,District 017,0,1.043240398
32427,80.6503,Narcotics Division,0,1.042678792
7817,78.0839,District 010,0,1.041575214
14208,73.5432,Forensic Services Evidence Technician Section,0,1.041434327
9928,35.077,District 022,0,1.040906132
4212,97.7498,District 020,0,1.040721076
22174,89.5915,District 001,0,1.040647419
65,93.2139,District 017,0,1.040647419
17364,63.1462,District 018,0,1.040647419
603,21.4436,Executive Officers Unit,0,1.040647419
1931,72.3859,District 018,0,1.039662117
21712,76.8981,District 008,0,1.038423554
31119,99.8357,District 005,0,1.038009878
16675,90.3271,Arson Section,0,1.037721469
25890,75.6161,Airport Law Enforcement Section - North,0,1.036516897
5390,68.1785,District 018,0,1.035628252
25306,99.2587,Gang Investigation Division,0,1.034110681
32401,98.3952,Narcotics Division,0,1.033227092
32074,93.1795,Gang Investigation Division,0,1.032980189
16812,91.2428,District 005,0,1.031927866
31928,87.9447,Narcotics Division,0,1.031756802
22176,99.4116,Gang Enforcement - Area Central,0,1.031675335
8852,99.0638,District 003,0,1.031675335
19163,95.602,District 004,0,1.031514476
17817,77.1393,District 005,0,1.031005246
16154,69.5617,District 022,0,1.030844576
15437,63.8684,Detective Area - North,0,1.030024813
13892,55.4048,District 020,0,1.02975548
32336,99.6676,Narcotics Division,0,1.029437102
9309,99.3199,District 018,0,1.028775059
11983,89.5762,District 014,0,1.027421401
7865,50.3267,District 020,0,1.027421401
4587,33.2932,Bureau Of Patrol,0,1.027421401
3569,61.0638,District 001,0,1.027421401
14878,52.4894,Public Transportation Section,0,1.027081235
31573,73.7425,District 005,0,1.027081235
6450,46.3347,District 004,0,1.027081235
21370,89.2746,District 006,0,1.027081235
10100,91.3225,District 004,0,1.027081235
1547,78.0635,District 018,0,1.027027163
29722,35.077,District 017,1,1.026662037
23302,92.8058,District 018,0,1.025841405
21260,99.0982,Airport Law Enforcement Section - North,0,1.025493515
30401,97.1724,District 006,0,1.025384894
27755,90.1612,Narcotics Division,0,1.025169997
25588,17.758,Mounted Unit,0,1.024616499
31882,99.8051,Narcotics Division,0,1.023833137
32164,99.8472,Narcotics Division,0,1.023443682
8911,93.8558,Detective Area - South,0,1.02248632
21501,64.695,District 001,0,1.022289088
8375,98.3111,Special Weapons And Tactics (Swat) Unit,0,1.021898278
429,79.7486,Juvenile Intervention Support Center (Jisc),0,1.021605805
26957,46.4522,District 024,0,1.021605805
395,72.6797,District 011,0,1.021466647
3126,99.7036,District 004,0,1.021370054
2669,98.0489,District 022,0,1.021158719
22837,74.8156,District 014,0,1.02098044
23239,96.7139,District 016,0,1.020184087
24274,66.3151,Narcotics Division,0,1.020048781
31514,90.7913,Detective Area - Central,0,1.019669385
13772,91.46,District 006,0,1.019382837
16731,96.7671,District 009,0,1.019298029
16499,71.6218,Airport Law Enforcement Section - South,0,1.019260923
31260,70.238,Special Weapons And Tactics (Swat) Unit,0,1.018328126
20884,86.9474,District 012,0,1.018174358
20331,82.5494,Detective Area - South,0,1.018174358
8386,97.459,Detective Area - South,0,1.018174358
17440,33.5504,District 003,0,1.018174358
25514,26.0432,District 001,0,1.018174358
17435,26.0389,District 007,0,1.018174358
4855,30.6293,Mounted Unit,0,1.018123915
12238,93.5472,District 004,0,1.017342255
26907,88.6668,District 019,0,1.016947448
5276,56.9371,District 005,0,1.016711316
8562,99.9751,Special Functions Support Unit,0,1.016686992
31391,44.653,District 009,0,1.01622231
1531,97.9027,District 002,0,1.01622231
1250,67.3204,District 003,0,1.01622231
18540,69.7413,Gang Enforcement - Area Central,0,1.015915711
6523,76.9378,District 018,0,1.015865824
8500,92.2319,District 011,0,1.01576343
27209,72.5918,District 012,0,1.01552034
9188,42.2949,Forensic Services Division,0,1.015378396
12677,90.3175,Special Weapons And Tactics (Swat) Unit,0,1.015261495
21098,99.0868,District 007,0,1.015018275
8476,79.9601,District 003,0,1.014936053
25576,90.2564,Special Weapons And Tactics (Swat) Unit,0,1.014439938
14896,97.8755,District 022,0,1.014397476
22644,99.1823,District 006,0,1.014397476
3897,99.8624,District 008,0,1.0143344
22493,69.6632,Marine Operations Unit,0,1.01421863
5046,75.4958,District 018,0,1.014035736
10928,84.2345,District 012,0,1.013953998
17413,78.5679,Airport Law Enforcement Section - North,0,1.01368485
13750,65.8188,District 011,0,1.01353908
32172,98.8384,Narcotics Division,0,1.013491226
15723,58.0566,District 022,0,1.012770491
5332,93.8367,District 003,0,1.012770491
23600,89.752,Gang Enforcement - Area Central,0,1.012770491
18537,73.6082,District 002,0,1.012770491
31641,73.5432,District 008,0,1.012660636
20154,97.1572,Central Investigations Division,0,1.012323644
761,96.9852,District 004,0,1.011252255
8127,82.3738,Office Of The First Deputy Superintendent,0,1.011046734
32016,99.4192,Narcotics Division,0,1.011033744
31354,29.6206,Bomb Squad,0,1.010381967
24022,18.8164,Detective Area - North,0,1.010381967
4824,56.4525,Detective Area - North,0,1.010381967
18076,93.6915,Detective Area - Central,0,1.010381967
3454,99.6965,Special Functions Support Unit,0,1.010381967
5618,97.821,District 020,0,1.010381967
31411,95.4874,District 019,0,1.010145128
502,36.2646,District 014,0,1.009872334
425,91.8021,District 010,0,1.009833562
25575,89.9545,Gang Investigation Division,0,1.009833562
12307,68.7211,District 018,0,1.009833562
29703,53.4447,Public Transportation Section,0,1.009833562
28752,34.9165,District 018,0,1.009833562
27504,97.4399,District 016,0,1.009825569
19329,98.3608,Gang Enforcement - Area South,0,1.009658792
8138,99.8281,District 011,0,1.009384552
16999,88.8808,District 008,0,1.008666179
23792,83.4106,District 012,0,1.008352084
8706,96.5114,Special Weapons And Tactics (Swat) Unit,0,1.007785726
9425,98.9989,District 020,0,1.007527725
18341,89.6912,District 003,0,1.007285255
19255,67.3952,Detective Area - North,0,1.006691089
26530,88.2236,District 025,0,1.006620185
17780,71.9652,District 022,0,1.006500515
18205,99.0371,District 008,0,1.006500515
21514,93.8405,Detective Area - Central,0,1.006500515
18262,64.9961,Special Weapons And Tactics (Swat) Unit,0,1.006500515
2119,89.9071,Special Functions Support Unit,0,1.006500515
25112,82.8933,Public Transportation Section,0,1.006500515
5610,29.9132,Bureau Of Internal Affairs,0,1.006500515
7218,60.4562,District 003,0,1.006500515
30877,71.0443,Detective Area - Central,0,1.006382693
20772,88.8808,Detective Area - Central,0,1.006379733
2403,83.6231,Public Transportation Section,0,1.005707535
12040,84.1924,District 014,0,1.005707535
18453,98.2767,District 022,0,1.005194206
31341,70.5789,Office Of The First Deputy Superintendent,0,1.004961173
1551,58.6746,Central Detention Unit,0,1.004961173
18806,70.4367,District 011,0,1.004654195
21093,57.3674,District 011,0,1.004654195
15004,40.6289,District 012,0,1.004654195
1658,84.479,District 006,0,1.004654195
21317,57.1052,District 008,0,1.004654195
140,54.2318,Bureau Of Patrol,0,1.004654195
