officer_id,officer_complaint_percentile,officer_unit_id,officer_unit_description,officer_unit_name,supervisor_id,supervisor_complaint_percentile,supervisor_unit_id,supervisor_unit_description,supervisor_unit_name,allegation_id
1026,98.4869,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,100251
1026,98.4869,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,94558
1054,90.2735,149,Narcotics Division,189,7253,62.6189,7,District 006,006,60530
1056,99.0180,5,District 004,004,13303,93.8405,27,Executive Officers Unit,026,15446
1057,92.8470,20,District 019,019,32098,43.9456,153,Gang Investigation Division,193,49884
1057,92.8470,20,District 019,019,27392,86.8366,40,Detail Unit,057,49884
1096,66.2413,212,Detective Area - South,620,319,51.1788,105,Office Of The First Deputy Superintendent,140,136069
1111,69.7527,212,Detective Area - South,620,12628,75.2130,151,Intelligence Section,191,130850
1111,69.7527,212,Detective Area - South,620,12628,75.2130,151,Intelligence Section,191,131989
1134,29.9344,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,2741
1149,91.3760,225,Public Transportation Section,701,12478,99.5529,188,Special Activities Section,441,179982
1190,45.8217,3,District 002,002,7754,62.7756,189,Bomb Squad,442,128539
1452,68.0486,16,District 015,015,4620,50.4681,4,District 003,003,88801
1464,76.9554,179,Special Weapons And Tactics (Swat) Unit,353,27415,97.3062,36,Airport Law Enforcement Section - South,051,87976
1501,71.6439,23,District 022,022,24996,88.8808,156,Bureau Of Patrol - Area Central,211,141446
1532,50.1815,2,District 001,001,29722,35.0770,18,District 017,017,149244
78,55.2101,5,District 004,004,32209,56.9371,149,Narcotics Division,189,163706
90,84.5024,225,Public Transportation Section,701,14630,98.2805,6,District 005,005,171654
195,23.7383,215,Detective Area - North,630,27392,86.8366,40,Detail Unit,057,23830
200,64.0166,11,District 010,010,15368,92.4497,13,District 012,012,180972
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,122776
341,51.9239,212,Detective Area - South,620,13303,93.8405,27,Executive Officers Unit,026,51251
372,66.7762,152,Vice & Asset Forfeiture Division,192,12479,97.8258,212,Detective Area - South,620,131387
389,94.3427,19,District 018,018,4131,49.9026,55,Special Investigations Unit,079,136451
395,72.6797,12,District 011,011,32209,56.9371,149,Narcotics Division,189,74639
425,91.8021,11,District 010,010,16870,49.7115,38,Mounted Unit,055,162165
465,94.0736,175,Gang Enforcement - Area North,313,13498,42.5815,69,Office Of The Superintendent,111,63609
478,95.5294,80,Bureau Of Internal Affairs,121,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
478,95.5294,80,Bureau Of Internal Affairs,121,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
498,84.4790,35,Airport Law Enforcement Section - North,050,27392,86.8366,40,Detail Unit,057,80843
533,87.7995,183,Gang Enforcement Division,393,13303,93.8405,27,Executive Officers Unit,026,67094
539,18.5825,119,Special Functions Support Unit,153,22393,81.4298,128,Records Inquiry Section,163,64617
569,78.0100,112,Traffic Section,145,981,36.9417,112,Traffic Section,145,141243
572,74.2157,225,Public Transportation Section,701,27415,97.3062,36,Airport Law Enforcement Section - South,051,169096
572,74.2157,225,Public Transportation Section,701,7754,62.7756,189,Bomb Squad,442,156397
576,91.3989,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,18671
576,91.3989,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,25087
576,91.3989,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,177771
628,98.0897,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,62140
658,76.0851,4,District 003,003,30710,81.6094,3,District 002,002,126349
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,169379
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,174940
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,136497
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,132477
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,18678
674,52.6919,200,Arson Section,603,674,52.6919,200,Arson Section,603,142071
678,80.7764,35,Airport Law Enforcement Section - North,050,12479,97.8258,212,Detective Area - South,620,151991
678,80.7764,35,Airport Law Enforcement Section - North,050,12479,97.8258,212,Detective Area - South,620,151368
727,47.4800,183,Gang Enforcement Division,393,23543,82.1711,31,District Reinstatement Unit,045,168165
759,90.7719,6,District 005,005,12478,99.5529,188,Special Activities Section,441,7560
759,90.7719,6,District 005,005,674,52.6919,200,Arson Section,603,18678
761,96.9852,5,District 004,004,6792,90.2105,19,District 018,018,65283
761,96.9852,5,District 004,004,31984,90.1876,193,Detached Services - Goverment Security,542,65283
761,96.9852,5,District 004,004,6792,90.2105,19,District 018,018,63160
761,96.9852,5,District 004,004,31984,90.1876,193,Detached Services - Goverment Security,542,63160
780,67.1621,4,District 003,003,674,52.6919,200,Arson Section,603,18678
792,78.0520,26,District 025,025,12479,97.8258,212,Detective Area - South,620,90501
800,92.9693,15,District 014,014,29215,70.3068,11,District 010,010,27163
833,92.4497,8,District 007,007,30710,81.6094,3,District 002,002,128219
885,92.0446,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,27417
901,39.1235,212,Detective Area - South,620,30710,81.6094,3,District 002,002,53872
981,36.9417,112,Traffic Section,145,981,36.9417,112,Traffic Section,145,141243
997,78.4036,17,District 016,016,16617,93.7756,21,District 020,020,70167
1018,95.3269,9,District 008,008,31984,90.1876,193,Detached Services - Goverment Security,542,56095
1026,98.4869,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,93652
1026,98.4869,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,103872
1040,36.7812,80,Bureau Of Internal Affairs,121,14630,98.2805,6,District 005,005,151849
1057,92.8470,20,District 019,019,27392,86.8366,40,Detail Unit,057,36971
1057,92.8470,20,District 019,019,27392,86.8366,40,Detail Unit,057,48489
1063,96.7751,9,District 008,008,15592,95.3231,179,Special Weapons And Tactics (Swat) Unit,353,161364
1072,62.7756,17,District 016,016,27392,86.8366,40,Detail Unit,057,136225
1116,71.6104,208,Detective Area - Central,610,8780,57.9382,72,Legal Affairs Section,114,145350
1116,71.6104,208,Detective Area - Central,610,27392,86.8366,40,Detail Unit,057,145350
1134,29.9344,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,176992
1148,93.8099,4,District 003,003,16617,93.7756,21,District 020,020,100391
1149,91.3760,225,Public Transportation Section,701,12478,99.5529,188,Special Activities Section,441,7560
1266,80.0695,178,Canine Unit,341,29225,84.7503,208,Detective Area - Central,610,162482
1290,77.6791,149,Narcotics Division,189,13303,93.8405,27,Executive Officers Unit,026,142928
1336,38.3554,204,Central Investigations Division,606,32209,56.9371,149,Narcotics Division,189,142217
1351,27.9969,7,District 006,006,25319,81.7202,5,District 004,004,127196
1464,76.9554,179,Special Weapons And Tactics (Swat) Unit,353,22393,81.4298,128,Records Inquiry Section,163,64617
1496,85.2689,212,Detective Area - South,620,27415,97.3062,36,Airport Law Enforcement Section - South,051,156231
1509,87.2467,20,District 019,019,8026,78.7933,26,District 025,025,141686
1533,93.0751,9,District 008,008,13303,93.8405,27,Executive Officers Unit,026,51251
1535,89.4693,208,Detective Area - Central,610,15791,61.2052,175,Gang Enforcement - Area North,313,42523
1547,78.0635,19,District 018,018,14684,88.1395,225,Public Transportation Section,701,62351
1553,99.7211,23,District 022,022,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
1553,99.7211,23,District 022,022,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
1561,69.9502,10,District 009,009,13303,93.8405,27,Executive Officers Unit,026,64422
1569,32.9656,11,District 010,010,32391,43.0897,183,Gang Enforcement Division,393,15188
1588,93.4278,7,District 006,006,674,52.6919,200,Arson Section,603,18678
1628,65.6834,212,Detective Area - South,620,14630,98.2805,6,District 005,005,171406
1654,68.5261,136,Central Detention Unit,171,27392,86.8366,40,Detail Unit,057,145350
1654,68.5261,136,Central Detention Unit,171,8780,57.9382,72,Legal Affairs Section,114,145350
1662,97.3750,173,Gang Enforcement - Area Central,311,13303,93.8405,27,Executive Officers Unit,026,67719
1677,86.6111,208,Detective Area - Central,610,3471,42.1535,15,District 014,014,69526
1696,75.6580,2,District 001,001,6792,90.2105,19,District 018,018,65283
1696,75.6580,2,District 001,001,6792,90.2105,19,District 018,018,71084
1696,75.6580,2,District 001,001,31984,90.1876,193,Detached Services - Goverment Security,542,65283
