officer_id,officer_complaint_percentile,officer_unit_id,officer_unit_description,officer_unit_name,supervisor_id,supervisor_complaint_percentile,supervisor_unit_id,supervisor_unit_description,supervisor_unit_name,allegation_id
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,92366
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,91844
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,142798
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,90168
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,153855
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,24446
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,140607
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,86659
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,168413
9982,68.0257,228,Transit Security Unit,704,16617,93.7756,21,District 020,020,70167
9988,68.4116,215,Detective Area - North,630,29225,84.7503,208,Detective Area - Central,610,162482
10002,64.9345,26,District 025,025,23543,82.1711,31,District Reinstatement Unit,045,168165
10029,66.6897,20,District 019,019,7061,45.4473,178,Canine Unit,341,57236
10096,61.2080,17,District 016,016,16576,70.5743,194,Detached Services - Miscellaneous Detail,543,149032
10115,81.2080,7,District 006,006,13303,93.8405,27,Executive Officers Unit,026,51251
10117,74.2960,3,District 002,002,25319,81.7202,5,District 004,004,28540
10138,91.5785,9,District 008,008,15995,56.9371,146,Youth Investigation Division,184,133039
10146,80.6503,17,District 016,016,20782,48.4238,35,Airport Law Enforcement Section - North,050,147013
10146,80.6503,17,District 016,016,20782,48.4238,35,Airport Law Enforcement Section - North,050,149400
10146,80.6503,17,District 016,016,20782,48.4238,35,Airport Law Enforcement Section - North,050,143941
10166,95.8924,9,District 008,008,27415,97.3062,36,Airport Law Enforcement Section - South,051,169096
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,132482
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,164321
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,147974
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,136704
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,96415
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,159693
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,154415
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,172292
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,13008
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,148153
10182,87.5549,4,District 003,003,27797,98.4563,160,Freedom Of Information Section,214,103906
10208,88.3680,208,Detective Area - Central,610,15995,56.9371,146,Youth Investigation Division,184,133039
10231,89.4380,119,Special Functions Support Unit,153,24996,88.8808,156,Bureau Of Patrol - Area Central,211,143139
10231,89.4380,119,Special Functions Support Unit,153,16576,70.5743,194,Detached Services - Miscellaneous Detail,543,169083
10259,95.7625,9,District 008,008,13303,93.8405,27,Executive Officers Unit,026,64740
10280,79.0990,215,Detective Area - North,630,27392,86.8366,40,Detail Unit,057,145350
10280,79.0990,215,Detective Area - North,630,8780,57.9382,72,Legal Affairs Section,114,145350
10298,38.5885,171,Forensic Services Evidence Technician Section,277,13498,42.5815,69,Office Of The Superintendent,111,63609
9809,85.2509,9,District 008,008,13303,93.8405,27,Executive Officers Unit,026,67347
9812,75.0373,212,Detective Area - South,620,11339,21.7493,136,Central Detention Unit,171,141645
9816,75.4270,107,Bureau Of Patrol,142,32098,43.9456,153,Gang Investigation Division,193,143645
9816,75.4270,107,Bureau Of Patrol,142,32098,43.9456,153,Gang Investigation Division,193,144312
9819,92.5375,35,Airport Law Enforcement Section - North,050,27274,87.1232,204,Central Investigations Division,606,77799
9912,57.5331,179,Special Weapons And Tactics (Swat) Unit,353,27415,97.3062,36,Airport Law Enforcement Section - South,051,87976
9919,88.6315,142,Forensic Services Division,177,20913,94.9792,9,District 008,008,160940
9963,94.4098,17,District 016,016,7260,63.8073,180,Alternate Response Section,376,80452
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,175960
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,28719
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,85984
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,179804
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,171602
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,3598
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,156979
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,26723
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,70399
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,177545
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,21608
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,153312
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,92713
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,153313
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,137029
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,149426
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,39316
9970,97.9863,132,Evidence And Recovered Property Section,167,9970,97.9863,132,Evidence And Recovered Property Section,167,168383
9982,68.0257,228,Transit Security Unit,704,15791,61.2052,175,Gang Enforcement - Area North,313,70167
10014,98.1239,5,District 004,004,15368,92.4497,13,District 012,012,45843
10031,66.1648,19,District 018,018,24996,88.8808,156,Bureau Of Patrol - Area Central,211,25997
10085,52.0920,12,District 011,011,27415,97.3062,36,Airport Law Enforcement Section - South,051,75799
10100,91.3225,5,District 004,004,8672,32.1768,131,Field Services Section,166,122514
10137,79.3517,12,District 011,011,32391,43.0897,183,Gang Enforcement Division,393,167676
10146,80.6503,17,District 016,016,10170,88.3077,10,District 009,009,152474
10146,80.6503,17,District 016,016,20782,48.4238,35,Airport Law Enforcement Section - North,050,145989
10166,95.8924,9,District 008,008,319,51.1788,105,Office Of The First Deputy Superintendent,140,152890
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,151528
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,88806
10170,88.3077,10,District 009,009,27274,87.1232,204,Central Investigations Division,606,155802
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,145953
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,155802
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,165281
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,154667
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,150738
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,141042
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,152474
10170,88.3077,10,District 009,009,10170,88.3077,10,District 009,009,169879
10171,95.8160,215,Detective Area - North,630,10170,88.3077,10,District 009,009,151528
10171,95.8160,215,Detective Area - North,630,18434,78.0635,142,Forensic Services Division,177,161977
10203,83.3747,17,District 016,016,15791,61.2052,175,Gang Enforcement - Area North,313,18864
10227,77.4311,119,Special Functions Support Unit,153,12478,99.5529,188,Special Activities Section,441,146320
10280,79.0990,215,Detective Area - North,630,20913,94.9792,9,District 008,008,134868
10330,92.8814,17,District 016,016,29225,84.7503,208,Detective Area - Central,610,136390
10363,59.7302,2,District 001,001,8026,78.7933,26,District 025,025,132533
10377,69.9209,4,District 003,003,16617,93.7756,21,District 020,020,107157
10377,69.9209,4,District 003,003,14630,98.2805,6,District 005,005,136053
10389,71.3487,19,District 018,018,12478,99.5529,188,Special Activities Section,441,146320
10482,94.0660,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,25190
10531,35.8603,206,Major Accident Investigation Unit,608,10531,35.8603,206,Major Accident Investigation Unit,608,12941
10542,90.2946,11,District 010,010,20913,94.9792,9,District 008,008,144196
10542,90.2946,11,District 010,010,20913,94.9792,9,District 008,008,148109
10553,89.8283,11,District 010,010,13273,95.8122,173,Gang Enforcement - Area Central,311,52280
10556,77.4499,19,District 018,018,12478,99.5529,188,Special Activities Section,441,146320
10592,61.0026,142,Forensic Services Division,177,18434,78.0635,142,Forensic Services Division,177,94123
10614,95.7087,12,District 011,011,319,51.1788,105,Office Of The First Deputy Superintendent,140,124747
10629,59.3290,19,District 018,018,11756,52.1914,126,General Support Division,161,175984
10663,91.4677,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,65343
10687,80.9009,16,District 015,015,12628,75.2130,151,Intelligence Section,191,130850
10687,80.9009,16,District 015,015,12628,75.2130,151,Intelligence Section,191,131989
10687,80.9009,16,District 015,015,12478,99.5529,188,Special Activities Section,441,146320
10687,80.9009,16,District 015,015,12628,75.2130,151,Intelligence Section,191,130081
10724,99.6905,16,District 015,015,27797,98.4563,160,Freedom Of Information Section,214,88248
10724,99.6905,16,District 015,015,27797,98.4563,160,Freedom Of Information Section,214,87219
10824,49.5243,25,District 024,024,13403,26.8274,115,Traffic Court Unit,148,171578
10891,98.9794,7,District 006,006,13273,95.8122,173,Gang Enforcement - Area Central,311,29762
10891,98.9794,7,District 006,006,13273,95.8122,173,Gang Enforcement - Area Central,311,37859
10917,42.8069,208,Detective Area - Central,610,13701,42.1535,12,District 011,011,30792
10928,84.2345,13,District 012,012,14684,88.1395,225,Public Transportation Section,701,142121
10973,30.1020,25,District 024,024,20271,70.3068,157,Bureau Of Patrol - Area South,212,55425
10986,62.3633,8,District 007,007,12478,99.5529,188,Special Activities Section,441,146320
11047,21.4900,137,Equipment And Supply Section,172,12478,99.5529,188,Special Activities Section,441,146320
11105,60.8224,2,District 001,001,32209,56.9371,149,Narcotics Division,189,151289
11110,33.0704,25,District 024,024,30412,61.4497,96,Chicago Alternative Policing Strategy (Caps) Division,135,154289
11133,80.2071,178,Canine Unit,341,6792,90.2105,19,District 018,018,179824
11194,98.3340,35,Airport Law Enforcement Section - North,050,14808,24.8596,2,District 001,001,162493
11194,98.3340,35,Airport Law Enforcement Section - North,050,27392,86.8366,40,Detail Unit,057,66772
11194,98.3340,35,Airport Law Enforcement Section - North,050,27274,87.1232,204,Central Investigations Division,606,162493
11220,87.0276,21,District 020,020,7253,62.6189,7,District 006,006,60530
11232,72.0225,208,Detective Area - Central,610,14192,73.1382,86,Research And Development Division,127,27736
11232,72.0225,208,Detective Area - Central,610,29215,70.3068,11,District 010,010,159365
11232,72.0225,208,Detective Area - Central,610,29215,70.3068,11,District 010,010,170303
11246,94.9410,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,94044
11266,88.3480,173,Gang Enforcement - Area Central,311,13273,95.8122,173,Gang Enforcement - Area Central,311,64448
11266,88.3480,173,Gang Enforcement - Area Central,311,12478,99.5529,188,Special Activities Section,441,146320
10330,92.8814,17,District 016,016,29225,84.7503,208,Detective Area - Central,610,134452
10330,92.8814,17,District 016,016,29225,84.7503,208,Detective Area - Central,610,134210
10387,80.2721,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,49357
10455,50.6897,23,District 022,022,23492,94.2952,174,Gang Enforcement - Area South,312,27653
10466,35.0770,194,Detached Services - Miscellaneous Detail,543,9970,97.9863,132,Evidence And Recovered Property Section,167,103085
10509,67.6932,25,District 024,024,7061,45.4473,178,Canine Unit,341,164086
10531,35.8603,206,Major Accident Investigation Unit,608,10531,35.8603,206,Major Accident Investigation Unit,608,164763
10531,35.8603,206,Major Accident Investigation Unit,608,10531,35.8603,206,Major Accident Investigation Unit,608,166524
10534,80.1574,15,District 014,014,22077,63.5016,169,Court Section,261,83678
10536,55.0697,13,District 012,012,14684,88.1395,225,Public Transportation Section,701,148438
10540,34.1065,20,District 019,019,20271,70.3068,157,Bureau Of Patrol - Area South,212,160723
10547,82.5125,12,District 011,011,7260,63.8073,180,Alternate Response Section,376,126003
10555,64.3155,200,Arson Section,603,10170,88.3077,10,District 009,009,136704
10568,66.7456,23,District 022,022,13303,93.8405,27,Executive Officers Unit,026,51251
10629,59.3290,19,District 018,018,11756,52.1914,126,General Support Division,161,1231
10650,49.6573,23,District 022,022,24996,88.8808,156,Bureau Of Patrol - Area Central,211,129448
10687,80.9009,16,District 015,015,12628,75.2130,151,Intelligence Section,191,139195
10693,78.9232,6,District 005,005,6792,90.2105,19,District 018,018,71084
10724,99.6905,16,District 015,015,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
10802,40.1419,10,District 009,009,30710,81.6094,3,District 002,002,53872
10832,64.9830,21,District 020,020,27392,86.8366,40,Detail Unit,057,138368
10864,58.8343,225,Public Transportation Section,701,7471,85.3043,215,Detective Area - North,630,135759
10864,58.8343,225,Public Transportation Section,701,7471,85.3043,215,Detective Area - North,630,129927
10864,58.8343,225,Public Transportation Section,701,7471,85.3043,215,Detective Area - North,630,139723
10864,58.8343,225,Public Transportation Section,701,22393,81.4298,128,Records Inquiry Section,163,135759
10928,84.2345,13,District 012,012,8780,57.9382,72,Legal Affairs Section,114,145350
10928,84.2345,13,District 012,012,27392,86.8366,40,Detail Unit,057,145350
10928,84.2345,13,District 012,012,27392,86.8366,40,Detail Unit,057,148648
10946,80.5319,25,District 024,024,27392,86.8366,40,Detail Unit,057,80843
11002,64.4037,107,Bureau Of Patrol,142,25319,81.7202,5,District 004,004,149257
11009,27.0202,4,District 003,003,18434,78.0635,142,Forensic Services Division,177,57218
11125,68.6905,212,Detective Area - South,620,13303,93.8405,27,Executive Officers Unit,026,51251
11132,56.8644,12,District 011,011,6792,90.2105,19,District 018,018,7307
11133,80.2071,178,Canine Unit,341,6792,90.2105,19,District 018,018,30966
11163,41.0397,13,District 012,012,3850,56.9371,192,Fop Detail,541,140768
11190,99.7822,9,District 008,008,13303,93.8405,27,Executive Officers Unit,026,64422
11194,98.3340,35,Airport Law Enforcement Section - North,050,27392,86.8366,40,Detail Unit,057,139224
11266,88.3480,173,Gang Enforcement - Area Central,311,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
11266,88.3480,173,Gang Enforcement - Area Central,311,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
11305,98.7429,9,District 008,008,8026,78.7933,26,District 025,025,170275
11332,18.7116,182,Juvenile Intervention Support Center (Jisc),384,11332,18.7116,182,Juvenile Intervention Support Center (Jisc),384,53150
11339,21.7493,136,Central Detention Unit,171,11339,21.7493,136,Central Detention Unit,171,150310
11368,75.9791,7,District 006,006,13498,42.5815,69,Office Of The Superintendent,111,159984
11368,75.9791,7,District 006,006,1932,83.5772,16,District 015,015,159984
11371,74.3097,19,District 018,018,4131,49.9026,55,Special Investigations Unit,079,130139
11374,40.0214,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,100659
11422,37.2855,10,District 009,009,7471,85.3043,215,Detective Area - North,630,158294
11433,45.2295,23,District 022,022,11433,45.2295,23,District 022,022,172485
11433,45.2295,23,District 022,022,11433,45.2295,23,District 022,022,61904
11433,45.2295,23,District 022,022,11433,45.2295,23,District 022,022,128229
11433,45.2295,23,District 022,022,11433,45.2295,23,District 022,022,166039
11446,78.9576,173,Gang Enforcement - Area Central,311,27274,87.1232,204,Central Investigations Division,606,163819
11450,85.5986,55,Special Investigations Unit,079,27392,86.8366,40,Detail Unit,057,48489
11537,91.8751,6,District 005,005,24996,88.8808,156,Bureau Of Patrol - Area Central,211,155288
11620,78.0635,136,Central Detention Unit,171,30180,61.9579,8,District 007,007,123933
11620,78.0635,136,Central Detention Unit,171,12479,97.8258,212,Detective Area - South,620,123933
11620,78.0635,136,Central Detention Unit,171,12479,97.8258,212,Detective Area - South,620,128228
11620,78.0635,136,Central Detention Unit,171,12479,97.8258,212,Detective Area - South,620,138607
11622,68.4116,38,Mounted Unit,055,25482,31.5884,87,Professional Counseling Division,128,138869
11666,95.0250,23,District 022,022,16617,93.7756,21,District 020,020,22413
11666,95.0250,23,District 022,022,16617,93.7756,21,District 020,020,22224
11713,99.1059,174,Gang Enforcement - Area South,312,27392,86.8366,40,Detail Unit,057,80843
11713,99.1059,174,Gang Enforcement - Area South,312,23492,94.2952,174,Gang Enforcement - Area South,312,106596
11756,52.1914,126,General Support Division,161,11756,52.1914,126,General Support Division,161,151154
11756,52.1914,126,General Support Division,161,11756,52.1914,126,General Support Division,161,1231
11756,52.1914,126,General Support Division,161,11756,52.1914,126,General Support Division,161,153876
11783,80.6668,35,Airport Law Enforcement Section - North,050,4131,49.9026,55,Special Investigations Unit,079,130139
11790,81.5368,215,Detective Area - North,630,23836,51.4692,148,Bureau Of Organized Crime,188,165337
11790,81.5368,215,Detective Area - North,630,20782,48.4238,35,Airport Law Enforcement Section - North,050,143941
11816,86.2214,23,District 022,022,1932,83.5772,16,District 015,015,138985
11816,86.2214,23,District 022,022,1932,83.5772,16,District 015,015,169910
11816,86.2214,23,District 022,022,1932,83.5772,16,District 015,015,135522
11816,86.2214,23,District 022,022,13498,42.5815,69,Office Of The Superintendent,111,159984
11816,86.2214,23,District 022,022,1932,83.5772,16,District 015,015,159984
11820,92.3298,4,District 003,003,12479,97.8258,212,Detective Area - South,620,138607
11823,53.0969,3,District 002,002,30710,81.6094,3,District 002,002,53872
11826,40.9270,182,Juvenile Intervention Support Center (Jisc),384,13303,93.8405,27,Executive Officers Unit,026,51251
11322,34.0303,8,District 007,007,12478,99.5529,188,Special Activities Section,441,146320
11339,21.7493,136,Central Detention Unit,171,11339,21.7493,136,Central Detention Unit,171,141645
11347,81.1585,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,66345
11368,75.9791,7,District 006,006,12478,99.5529,188,Special Activities Section,441,146320
11450,85.5986,55,Special Investigations Unit,079,27392,86.8366,40,Detail Unit,057,49884
11450,85.5986,55,Special Investigations Unit,079,32098,43.9456,153,Gang Investigation Division,193,49884
11488,52.0957,153,Gang Investigation Division,193,25319,81.7202,5,District 004,004,129274
11488,52.0957,153,Gang Investigation Division,193,25319,81.7202,5,District 004,004,161427
11533,90.2492,7,District 006,006,32209,56.9371,149,Narcotics Division,189,151289
11537,91.8751,6,District 005,005,12478,99.5529,188,Special Activities Section,441,146320
11537,91.8751,6,District 005,005,12478,99.5529,188,Special Activities Section,441,151667
11633,72.0225,5,District 004,004,319,51.1788,105,Office Of The First Deputy Superintendent,140,152890
11634,99.6179,212,Detective Area - South,620,22393,81.4298,128,Records Inquiry Section,163,130625
11641,65.1484,174,Gang Enforcement - Area South,312,13303,93.8405,27,Executive Officers Unit,026,65343
11686,87.7689,15,District 014,014,27274,87.1232,204,Central Investigations Division,606,77799
11691,37.0520,7,District 006,006,29882,94.1194,107,Bureau Of Patrol,142,129610
11701,79.6798,9,District 008,008,13273,95.8122,173,Gang Enforcement - Area Central,311,63503
11756,52.1914,126,General Support Division,161,11756,52.1914,126,General Support Division,161,175984
11790,81.5368,215,Detective Area - North,630,10170,88.3077,10,District 009,009,152474
11831,89.1598,6,District 005,005,23492,94.2952,174,Gang Enforcement - Area South,312,27301
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,65505
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,61957
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,64841
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,100251
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,94558
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,71659
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,80124
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,107945
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,88248
11847,99.5338,12,District 011,011,1932,83.5772,16,District 015,015,103991
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,87219
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,82239
11847,99.5338,12,District 011,011,22077,63.5016,169,Court Section,261,64841
11849,63.7784,212,Detective Area - South,620,12628,75.2130,151,Intelligence Section,191,130850
11849,63.7784,212,Detective Area - South,620,12628,75.2130,151,Intelligence Section,191,131989
11851,87.9738,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,58743
11863,81.4298,12,District 011,011,8026,78.7933,26,District 025,025,93992
11876,38.8866,17,District 016,016,3709,33.1703,74,Crime Control Strategies Section,115,164936
11928,75.3806,5,District 004,004,13303,93.8405,27,Executive Officers Unit,026,14503
11928,75.3806,5,District 004,004,9970,97.9863,132,Evidence And Recovered Property Section,167,28719
11952,47.9555,153,Gang Investigation Division,193,13303,93.8405,27,Executive Officers Unit,026,124333
11980,98.6294,5,District 004,004,20913,94.9792,9,District 008,008,133152
11999,98.1999,7,District 006,006,13273,95.8122,173,Gang Enforcement - Area Central,311,166188
11999,98.1999,7,District 006,006,12478,99.5529,188,Special Activities Section,441,146320
12040,84.1924,15,District 014,014,10531,35.8603,206,Major Accident Investigation Unit,608,12941
12042,56.6665,12,District 011,011,15592,95.3231,179,Special Weapons And Tactics (Swat) Unit,353,5498
12059,97.6577,5,District 004,004,23492,94.2952,174,Gang Enforcement - Area South,312,94044
12085,91.8383,12,District 011,011,8026,78.7933,26,District 025,025,93992
12096,39.3165,8,District 007,007,30710,81.6094,3,District 002,002,133489
12101,81.9287,18,District 017,017,15791,61.2052,175,Gang Enforcement - Area North,313,35044
12103,71.0099,17,District 016,016,18434,78.0635,142,Forensic Services Division,177,161977
12176,97.8947,23,District 022,022,24996,88.8808,156,Bureau Of Patrol - Area Central,211,154305
12193,74.9035,20,District 019,019,2945,68.4116,134,Police Documents Section,169,160043
12203,52.3273,149,Narcotics Division,189,29215,70.3068,11,District 010,010,65106
12209,72.9075,225,Public Transportation Section,701,7754,62.7756,189,Bomb Squad,442,149137
12209,72.9075,225,Public Transportation Section,701,7754,62.7756,189,Bomb Squad,442,150899
12219,37.4344,194,Detached Services - Miscellaneous Detail,543,12478,99.5529,188,Special Activities Section,441,146320
12272,53.2192,212,Detective Area - South,620,13273,95.8122,173,Gang Enforcement - Area Central,311,166188
12310,39.7147,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,80124
12340,44.1672,84,Information Services Division,125,31984,90.1876,193,Detached Services - Goverment Security,542,59836
12340,44.1672,84,Information Services Division,125,6792,90.2105,19,District 018,018,59836
12412,93.9895,7,District 006,006,30710,81.6094,3,District 002,002,19437
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,62140
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,69785
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,103872
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,63187
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,71312
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,93652
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,79477
11847,99.5338,12,District 011,011,27797,98.4563,160,Freedom Of Information Section,214,71836
11851,87.9738,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,82350
11855,96.1102,4,District 003,003,16605,63.4213,85,Inspection Division,126,153001
11863,81.4298,12,District 011,011,8026,78.7933,26,District 025,025,170275
11876,38.8866,17,District 016,016,3709,33.1703,74,Crime Control Strategies Section,115,19717
11885,81.8698,149,Narcotics Division,189,32209,56.9371,149,Narcotics Division,189,142217
11898,88.0364,6,District 005,005,16617,93.7756,21,District 020,020,100391
11928,75.3806,5,District 004,004,13303,93.8405,27,Executive Officers Unit,026,11478
11952,47.9555,153,Gang Investigation Division,193,13303,93.8405,27,Executive Officers Unit,026,124848
11968,93.2559,12,District 011,011,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
11968,93.2559,12,District 011,011,13273,95.8122,173,Gang Enforcement - Area Central,311,61603
11980,98.6294,5,District 004,004,16605,63.4213,85,Inspection Division,126,173549
11999,98.1999,7,District 006,006,32209,56.9371,149,Narcotics Division,189,163706
12011,79.3206,178,Canine Unit,341,25319,81.7202,5,District 004,004,28540
12015,77.6996,36,Airport Law Enforcement Section - South,051,15995,56.9371,146,Youth Investigation Division,184,133039
12017,84.6807,35,Airport Law Enforcement Section - North,050,16576,70.5743,194,Detached Services - Miscellaneous Detail,543,149032
12038,89.1206,15,District 014,014,29225,84.7503,208,Detective Area - Central,610,134210
12112,38.9913,208,Detective Area - Central,610,6792,90.2105,19,District 018,018,157355
12159,99.4918,6,District 005,005,13273,95.8122,173,Gang Enforcement - Area Central,311,60462
12176,97.8947,23,District 022,022,1932,83.5772,16,District 015,015,169910
12203,52.3273,149,Narcotics Division,189,20913,94.9792,9,District 008,008,166556
12238,93.5472,5,District 004,004,9970,97.9863,132,Evidence And Recovered Property Section,167,2003
12395,41.7141,26,District 025,025,16605,63.4213,85,Inspection Division,126,153001
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,18671
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,27417
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,67581
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,25087
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,28060
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,28073
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,21146
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,19529
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,29398
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,33005
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,7012
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,176515
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,14852
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,37194
12478,99.5529,188,Special Activities Section,441,29882,94.1194,107,Bureau Of Patrol,142,37654
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,14072
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,13902
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,177771
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,178241
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,37654
12478,99.5529,188,Special Activities Section,441,12478,99.5529,188,Special Activities Section,441,179925
